Value,Count,ID,MU_GLOBAL,MU_SOURCE1,MU_SOURCE2,ISSOIL,SHARE,SEQ,SU_SYM74,SU_CODE74,SU_SYM85,SU_CODE85,SU_SYM90,SU_CODE90,T_TEXTURE,DRAINAGE,REF_DEPTH,AWC_CLASS,PHASE1,PHASE2,ROOTS,IL,SWR,ADD_PROP,T_GRAVEL,T_SAND,T_SILT,T_CLAY,T_USDA_TEX_CLASS,T_REF_BULK_DENSITY,T_OC,T_PH_H2O,T_CEC_CLAY,T_CEC_SOIL,T_BS,T_TEB,T_CACO3,T_CASO4,T_ESP,T_ECE,S_GRAVEL,S_SAND,S_SILT,S_CLAY,S_USDA_TEX_CLASS,S_REF_BULK_DENSITY,S_OC,S_PH_H2O,S_CEC_CLAY,S_CEC_SOIL,S_BS,S_TEB,S_CACO3,S_CASO4,S_ESP,S_ECE
11020,6400,11020,10648,3860090,3860041,1,50,1,,0,Be,18,CMe,62,2,4,100,5,25,0,1,1,1,0,9,42,36,22,9,1.4,1,6.6,55,16,93,14,0,0,2,0.1,12,41,34,25,9,1.38,0.37,7,55,15,93,15.1,0.1,0,2,0.1
11021,700,11021,10648,3860090,3860092,1,20,2,,0,Je,117,FLe,2,2,2,100,1,0,0,1,1,1,0,4,39,40,21,9,1.4,0.86,7.2,63,16,91,16.9,0.5,0,2,0.1,7,41,38,21,9,1.4,0.38,7.5,61,14,96,15.2,2.5,0,3,0.1
11022,2400,11022,10648,3860090,3860108,1,20,3,,0,Ge,68,GLe,10,2,2,100,1,0,0,3,1,2,0,4,37,40,23,9,1.38,1.07,6.2,41,13,88,10.2,0,0,2,0.1,5,36,36,28,5,1.35,0.37,6.6,42,13,90,11.9,0,0,2,0.1
11023,11300,11023,10648,3860090,3860167,1,10,4,,0,We,212,PLe,138,3,2,100,5,0,0,4,4,1,0,4,38,18,44,3,1.29,0.98,6.3,37,20,78,13.2,0.2,0,2,0.1,6,35,14,51,3,1.26,0.47,7.2,35,24,94,20.8,4.4,0,2,0.1
11024,2200,11024,10649,3860091,3860091,1,60,1,,0,Je,117,FLe,2,2,2,100,1,0,0,1,1,1,0,4,39,40,21,9,1.4,0.86,7.2,63,16,91,16.9,0.5,0,2,0.1,7,41,38,21,9,1.4,0.38,7.5,61,14,96,15.2,2.5,0,3,0.1
11025,1600,11025,10649,3860091,3860041,1,20,2,,0,Be,18,CMe,62,2,4,100,5,25,0,1,1,1,0,9,42,36,22,9,1.4,1,6.6,55,16,93,14,0,0,2,0.1,12,41,34,25,9,1.38,0.37,7,55,15,93,15.1,0.1,0,2,0.1
11026,2100,11026,10649,3860091,3860083,1,10,3,,0,Bc,9,CMx,66,2,3,100,5,2,0,1,1,1,0,10,49,28,23,9,1.4,0.98,6.6,42,13,83,11.6,0.1,0,2,0.1,9,47,26,27,10,1.38,0.47,6.7,44,15,92,11.9,0.1,0,1,0.1
11027,12500,11027,10649,3860091,3860108,1,10,4,,0,Ge,68,GLe,10,2,2,100,1,0,0,3,1,2,0,4,37,40,23,9,1.38,1.07,6.2,41,13,88,10.2,0,0,2,0.1,5,36,36,28,5,1.35,0.37,6.6,42,13,90,11.9,0,0,2,0.1
11028,4100,11028,10650,3860092,3860041,1,65,1,,0,Be,18,CMe,62,2,4,100,5,25,0,1,1,1,0,9,42,36,22,9,1.4,1,6.6,55,16,93,14,0,0,2,0.1,12,41,34,25,9,1.38,0.37,7,55,15,93,15.1,0.1,0,2,0.1
11029,3700,11029,10650,3860092,3860042,1,20,2,,0,Be,18,CMe,62,2,4,100,1,0,0,1,1,1,0,9,42,36,22,9,1.4,1,6.6,55,16,93,14,0,0,2,0.1,12,41,34,25,9,1.38,0.37,7,55,15,93,15.1,0.1,0,2,0.1
11030,22800,11030,10650,3860092,3860135,1,10,3,,0,Eo,60,LPk,100,2,3,30,5,0,0,0,0,0,0,16,37,44,19,9,1.41,2.13,7.5,80,27,100,28.8,6,0,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11031,38300,11031,10650,3860092,3860091,1,5,4,,0,Je,117,FLe,2,2,2,100,1,0,0,1,1,1,0,4,39,40,21,9,1.4,0.86,7.2,63,16,91,16.9,0.5,0,2,0.1,7,41,38,21,9,1.4,0.38,7.5,61,14,96,15.2,2.5,0,3,0.1
11032,5700,11032,10651,3860093,3860034,1,40,1,,0,Bd,14,CMd,63,2,3,100,6,1,2,1,1,1,0,10,42,38,20,9,1.41,1.45,5.1,32,12,38,4.3,0,0,2,0.1,19,45,35,20,9,1.42,0.5,5.2,35,9,33,2.6,0,0,2,0.1
11033,5600,11033,10651,3860093,3860043,1,30,2,,0,Be,18,CMe,62,2,4,100,3,1,0,1,1,1,0,9,42,36,22,9,1.4,1,6.6,55,16,93,14,0,0,2,0.1,12,41,34,25,9,1.38,0.37,7,55,15,93,15.1,0.1,0,2,0.1
